#ID,Pair,Larger,Stronger,Compact,Complex
1,75,A,B,B,A
1,77,A,B,B,A
1,81,A,A,B,A
1,85,A,A,B,A
1,89,A,A,A,A
1,91,A,A,B,A
1,95,A,A,B,B
1,97,A,A,A,B
1,101,B,B,A,B
1,103,A,A,B,A
1,45,B,B,A,B
1,43,B,B,A,B
1,41,B,B,A,B
1,39,B,B,A,B
1,37,B,B,A,B
1,35,A,B,B,A
1,33,B,B,B,B
1,19,B,B,A,B
1,21,A,A,B,A
1,23,A,A,B,A
1,57,A,A,B,A
1,59,A,A,B,A
1,5,A,A,B,A
1,47,B,B,A,B
1,49,B,B,A,B
1,51,A,A,B,A
1,53,A,A,B,A
1,55,A,A,B,A
1,3,B,B,A,B
1,1,A,A,B,A
1,61,B,B,B,A
2,33,A,B,A,-
2,35,A,B,A,-
2,37,-,B,-,-
2,39,B,B,A,B
2,41,B,A,A,B
2,43,B,-,A,B
2,45,B,-,A,B
2,97,B,A,A,-
2,95,A,A,B,A
2,91,A,A,-,A
2,89,A,A,-,A
2,85,A,-,B,A
2,81,A,A,B,A
2,59,A,A,B,A
2,5,A,A,B,-
2,47,B,B,A,-
2,49,B,-,A,-
2,51,A,A,B,A
2,53,A,A,B,A
2,55,A,A,B,A
2,3,B,B,-,-
2,1,A,A,B,A
2,61,-,B,B,-
3,47,B,B,A,B
3,49,B,B,A,B
3,51,A,A,A,A
3,53,A,A,B,A
3,55,A,A,B,A
3,57,A,A,B,A
3,59,A,A,B,A
3,61,A,B,B,B
3,1,A,A,B,A
3,3,B,B,B,B
3,5,A,A,B,A
3,23,A,A,B,A
3,21,A,B,B,A
3,19,B,B,B,B
3,89,A,A,A,A
3,91,A,A,A,A
3,95,A,B,B,A
3,97,B,A,A,B
3,81,A,A,B,A
3,85,A,A,B,A
3,63,A,B,B,A
3,65,A,A,B,A
3,67,A,A,B,A
3,69,B,B,A,B
3,71,A,B,B,B
3,73,A,B,B,A
4,58,A,A,B,A
4,60,A,A,B,A
4,62,B,B,B,A
4,64,A,A,B,A
4,66,A,B,B,A
4,68,A,A,B,A
4,70,A,B,B,A
4,72,A,B,B,A
4,74,B,B,B,A
4,50,A,A,A,B
4,52,A,A,B,A
4,54,A,A,B,A
4,46,-,B,A,B
4,44,B,B,A,B
4,0,A,A,B,A
4,2,A,A,B,A
4,4,-,A,-,A
4,87,A,B,A,B
4,14,A,A,A,-
4,16,B,B,A,B
4,18,A,A,A,B
4,20,B,B,B,A
4,22,A,A,B,A
4,12,A,A,B,A
4,24,B,B,B,B
4,26,A,A,B,A
4,28,B,B,A,B
4,30,B,B,A,B
4,39,B,B,A,B
4,43,B,B,B,-
4,3,B,B,-,A
4,31,B,B,B,-
4,35,B,B,B,A
4,51,A,A,B,A
4,53,A,A,B,A
4,55,A,A,B,A
5,63,A,B,B,A
5,65,A,A,B,A
5,67,A,A,B,A
5,69,B,B,B,B
5,71,A,B,B,A
5,73,A,B,B,A
5,19,B,B,A,B
5,21,A,B,B,B
5,23,A,A,B,A
5,25,A,A,B,B
5,27,A,B,B,B
5,29,B,B,B,B
5,84,A,A,B,A
5,17,A,B,A,B
5,15,A,A,B,A
5,13,A,A,B,A
5,11,A,B,B,A
5,80,A,A,B,A
5,78,A,A,B,A
5,76,A,B,B,A
6,19,B,A,B,B
6,21,A,B,B,A
6,23,A,B,B,A
6,25,A,B,B,A
6,27,A,B,B,A
6,29,B,B,A,B
6,73,A,B,B,A
6,71,A,B,B,A
6,69,B,B,A,B
6,67,A,A,B,A
6,65,A,A,B,A
6,63,A,A,B,A
6,76,A,B,B,A
6,78,A,A,B,A
6,80,A,A,B,A
6,82,A,A,B,A
6,100,B,B,A,B
6,98,A,A,A,B
6,86,A,A,B,A
7,86,A,A,A,A
7,84,A,A,B,A
7,82,A,A,B,A
7,80,A,A,B,A
7,78,A,A,B,A
7,76,A,B,B,B
7,88,A,A,B,A
7,90,-,A,A,A
7,92,B,A,A,B
7,94,B,A,A,B
7,102,A,A,B,A
7,7,A,B,B,A
7,9,A,A,B,A
7,96,B,B,A,B
7,98,A,B,A,B
7,100,B,-,A,B
7,0,A,A,B,A
7,44,B,B,A,B
7,46,B,B,A,B
7,50,A,A,A,A
7,52,-,-,B,A
7,54,A,A,B,A
7,56,A,A,B,A
8,76,A,B,B,A
8,78,A,A,A,A
8,80,A,A,A,A
8,82,A,A,A,A
8,84,A,A,A,A
8,86,A,A,A,A
8,88,A,A,A,B
8,90,A,A,A,A
8,92,B,B,A,B
