#Image index to pair index mapping.
#pair_index, image_a, image_b
#
0, 0, 1
1, 0, 2
2, 0, 3
3, 0, 4
4, 0, 5
5, 0, 6
6, 0, 7
7, 0, 8
8, 0, 9
9, 0, 10
10, 0, 11
11, 0, 12
12, 0, 13
13, 0, 14
14, 1, 2
15, 1, 3
16, 1, 4
17, 1, 5
18, 1, 6
19, 1, 7
20, 1, 8
21, 1, 9
22, 1, 10
23, 1, 11
24, 1, 12
25, 1, 13
26, 1, 14
27, 2, 3
28, 2, 4
29, 2, 5
30, 2, 6
31, 2, 7
32, 2, 8
33, 2, 9
34, 2, 10
35, 2, 11
36, 2, 12
37, 2, 13
38, 2, 14
39, 3, 4
40, 3, 5
41, 3, 6
42, 3, 7
43, 3, 8
44, 3, 9
45, 3, 10
46, 3, 11
47, 3, 12
48, 3, 13
49, 3, 14
50, 4, 5
51, 4, 6
52, 4, 7
53, 4, 8
54, 4, 9
55, 4, 10
56, 4, 11
57, 4, 12
58, 4, 13
59, 4, 14
60, 5, 6
61, 5, 7
62, 5, 8
63, 5, 9
64, 5, 10
65, 5, 11
66, 5, 12
67, 5, 13
68, 5, 14
69, 6, 7
70, 6, 8
71, 6, 9
72, 6, 10
73, 6, 11
74, 6, 12
75, 6, 13
76, 6, 14
77, 7, 8
78, 7, 9
79, 7, 10
80, 7, 11
81, 7, 12
82, 7, 13
83, 7, 14
84, 8, 9
85, 8, 10
86, 8, 11
87, 8, 12
88, 8, 13
89, 8, 14
90, 9, 10
91, 9, 11
92, 9, 12
93, 9, 13
94, 9, 14
95, 10, 11
96, 10, 12
97, 10, 13
98, 10, 14
99, 11, 12
100, 11, 13
101, 11, 14
102, 12, 13
103, 12, 14
104, 13, 14
